PiezoResult

Table 1
Table No [#]	Dpp [nm]	Rav [Ohm]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Dvmax+ [nm/V]	Dvmax- [nm/V]	Ipk+ [A]	Ipk- [A]	Hysteresis Frequency [Hz]	Hysteresis Amplitude [V]	Current Range []	Averages []	Delay [s]	
1.000000e+000	1.920380e+003	1.787340e+008	5.140000e+002	1.473740e+003	-1.329270e+003	6.394110e+000	-5.739720e+000	8.182740e+002	-9.311000e+002	2.478500e-004	-3.290240e-004	1.470590e-002	1.400000e+003	5.000000e+000	1.000000e+000	1.000000e+000	
2.000000e+000	2.031000e+003	6.768090e+008	5.140000e+002	1.473810e+003	-1.329690e+003	7.655530e+000	-6.592890e+000	9.837860e+002	-9.791260e+002	2.045260e-004	-3.442310e-004	1.470590e-002	1.400000e+003	5.000000e+000	1.000000e+000	1.000000e+000	
3.000000e+000	2.051810e+003	7.414010e+008	5.140000e+002	1.473780e+003	-1.329230e+003	4.622290e+000	-5.314970e+001	6.879690e+002	5.998290e+002	2.890790e-004	-3.139220e-004	9.523810e-003	1.400000e+003	5.000000e+000	1.000000e+000	1.000000e+000	
4.000000e+000	1.401950e+003	1.199260e+009	5.140000e+002	1.473740e+003	-1.328870e+003	4.849070e+000	-4.022370e+001	1.268800e+002	-3.809610e+002	7.228550e-005	-5.099490e-005	7.142840e-004	1.400000e+003	5.000000e+000	1.000000e+000	1.000000e+000	

Piezo
Program: aixPlorer Software version 3.0.44.0
TimeStamp: 08/23/2019 11:47:27
TfaModule: PZM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU624-1
TfaVersion: 4.11.0

Table 1
Timestamp: 08/23/2019 11:47:28
Number Of Ceramic Layers: 1
TableVersion: 4.11.0
RDev [1]: 2.0495
DOffset [nm]: -223.349
DBLIDevpp [1]: 0
DBLIDev [1]: -4.43534
Error: underflow
Monitoring: YES
Averages: 1
SingleLoop: YES
Settings: OM PE SL MW HV MON LF
Waveform: D:/Monica/remnant_test/waves_trap_1400V_creep/rmn_1400V_1000V_60s.tfw : Waveform 0
SampleName: CREEP_1400V_1000V_60S
Area [mm2]: 60
Thickness [nm]: 800000
Current Range: 5 (1mA)
ManualWaveform: 1
Hysteresis Frequency [Hz]: 0.0147059
Hysteresis Amplitude [V]: 1400
Delay [s]: 1
DisplacementChannelFactor [nm/V]: -15480
Dpp [nm]: 1920.38
Vmax+ [V]: 1473.74
Vmax- [V]: -1329.27
Pvmax+ [uC/cm2]: 6.39411
Pvmax- [uC/cm2]: -5.73972
Dvmax+ [nm/V]: 818.274
Dvmax- [nm/V]: -931.1
Ipk+ [A]: 0.00024785
Ipk- [A]: -0.000329024
Rav [Ohm]: 1.78734e+008
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.44.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 514
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	D1 [nm]	D2 [nm]	D3 [nm]	CH3 [V]	
0.000000e+000	4.380982e+002	0.000000e+000	2.498172e-005	2.831829e-001	2.498172e-005	2.831829e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	
1.360273e-002	1.193909e+003	0.000000e+000	8.353153e-005	1.513246e+000	8.353153e-005	1.513246e+000	0.000000e+000	0.000000e+000	3.323947e+002	3.323947e+002	0.000000e+000	0.000000e+000	
2.720545e-002	1.473223e+003	0.000000e+000	9.109796e-005	3.492777e+000	9.109796e-005	3.492777e+000	0.000000e+000	0.000000e+000	6.376088e+002	6.376088e+002	0.000000e+000	0.000000e+000	
4.080818e-002	1.473415e+003	0.000000e+000	4.256438e-005	5.007921e+000	4.256438e-005	5.007921e+000	0.000000e+000	0.000000e+000	7.196015e+002	7.196015e+002	0.000000e+000	0.000000e+000	
5.441091e-002	1.473274e+003	0.000000e+000	2.182290e-005	5.737790e+000	2.182290e-005	5.737790e+000	0.000000e+000	0.000000e+000	7.671440e+002	7.671440e+002	0.000000e+000	0.000000e+000	
6.801364e-002	1.473228e+003	0.000000e+000	1.335677e-005	6.136573e+000	1.335677e-005	6.136573e+000	0.000000e+000	0.000000e+000	7.991775e+002	7.991775e+002	0.000000e+000	0.000000e+000	
8.161636e-002	1.473742e+003	0.000000e+000	9.362858e-006	6.394113e+000	9.362858e-006	6.394113e+000	0.000000e+000	0.000000e+000	8.182741e+002	8.182741e+002	0.000000e+000	0.000000e+000	
9.521909e-002	1.473553e+003	0.000000e+000	7.155198e-006	6.581355e+000	7.155198e-006	6.581355e+000	0.000000e+000	0.000000e+000	8.320017e+002	8.320017e+002	0.000000e+000	0.000000e+000	
1.088218e-001	1.473358e+003	0.000000e+000	5.775351e-006	6.727931e+000	5.775351e-006	6.727931e+000	0.000000e+000	0.000000e+000	8.472743e+002	8.472743e+002	0.000000e+000	0.000000e+000	
1.224245e-001	1.473203e+003	0.000000e+000	4.888549e-006	6.848813e+000	4.888549e-006	6.848813e+000	0.000000e+000	0.000000e+000	8.614723e+002	8.614723e+002	0.000000e+000	0.000000e+000	
1.360273e-001	1.473417e+003	0.000000e+000	4.191765e-006	6.951744e+000	4.191765e-006	6.951744e+000	0.000000e+000	0.000000e+000	8.685066e+002	8.685066e+002	0.000000e+000	0.000000e+000	
1.496300e-001	1.473501e+003	0.000000e+000	3.649889e-006	7.040634e+000	3.649889e-006	7.040634e+000	0.000000e+000	0.000000e+000	8.747360e+002	8.747360e+002	0.000000e+000	0.000000e+000	
1.632327e-001	1.473327e+003	0.000000e+000	3.287814e-006	7.119277e+000	3.287814e-006	7.119277e+000	0.000000e+000	0.000000e+000	8.809823e+002	8.809823e+002	0.000000e+000	0.000000e+000	
1.768355e-001	1.473438e+003	0.000000e+000	2.956980e-006	7.190065e+000	2.956980e-006	7.190065e+000	0.000000e+000	0.000000e+000	8.857893e+002	8.857893e+002	0.000000e+000	0.000000e+000	
1.904382e-001	1.473246e+003	0.000000e+000	2.661813e-006	7.253758e+000	2.661813e-006	7.253758e+000	0.000000e+000	0.000000e+000	8.891016e+002	8.891016e+002	0.000000e+000	0.000000e+000	
